process       post-fit                pre-fit

non prompt    80.9594                 80.94
th            2.13857                 2.14
ttZ           25.8855                 25.89
ttW           68.0289                 68.03
WZ            15.0733                 15.07
tth           24.1825                 24.18
tz,tttt,vvv,ww 16.6959                15.04
tzq            7.34255                5.77
tttt           2.35643                2.32
vvv            3.03858                2.99
wwss           3.95834                3.96
data           280                    280
